Barcode	Author	Title	Description	Keywords	Publisher	Date	Status	TimesLent	ISBN	Value	BindingPages
100043	Archer, William	Life, Trial, and Death of Fransisco Ferrer, The		Biography	Chapman & Hall	1911	Reference				H/322
100042	Archer, William	William Archer as Rationalist		Rationalism	Watts & Co.	1925	Lending				H/240
100045	Archer, William	William Archer as Rationalist		Rationalism	Watts & Co.	1925	Reference				H/240
100044	Ardrey, Robert	African Genesis		Anthropology	Collins	1963	Lending				P/416
100147	Ardrey, Robert	African Genesis		Anthropology	Collins	1963	Reference				H/380
100672	Argan, Giulio Carlo	Botticelli		Art History / Botticelli	Skira	1957	Lending				H/146
100672	Aristotle	Politics, The		Philosophy / Politics	Penguin Books	1985	Lending			$6.60	P/306
100046	Aristotle	Works of Aristotle VI		Philosophy	Encyclopedia Brittanica	1952	Lending				H/726
100047	Aristotle	Works of Aristotle VII		Philosophy	Encyclopedia Brittanica	1952	Lending				H/699
106436	Aristotle	Aristotle: Selections from Nicomachean Ethics Politics		Philosophy	The Collector's Library of Essential Thinkers	2004	Lending		1-904919-11-1		
106102	Armesto, Felipe	Ideas that changed the world		History/Philosophy	Dorling Kindersley Limited	2003	Lending		0-7513-44141		
106329	Armstrong, Karen	Battle for God, The	Fundamentalism in Judaism, Christianity and Islam	Fundamentalism	HarperCollins	2001	Lending		0-00-638348-3		
106240	Armstrong, Karen	In the Beginning: A new interpretation of Genesis		Religious History	Ballantine Books	1996	Lending		0-345-40604-4		
106204	Armstrong, Karen	A short history of Myth		Mythology	Canongate	2005	Lending		1-84195-644-9		
100052	Armstrong, Karen	Gospel According To Woman The	A History  of Woman in Christianity			1986	Lending				
100048	Armstrong, Karen	Beginning the World	A former nun story of her life	Autobiography	Pan	1983	Lending	1	0-330-28409-6		P/243
101959	Armstrong, Karen	History of God, A	A biography of belief	Religious History	Mandarin	1994	Reference	2	0-7493-0692-0		P/511
106379	Armstrong, Karen	History of God, A	A biography of belief	Religious History	Mandarin	1994	Lending		0-7493-0692-0		
100053	Armstrong, Karen	Through the Narrow Gate : A Nun's Story		Autobiography	Macmillan	1981	Lending	1	0-330-26664-0		P/284
106393	Armstrong, Karen	The Case for God		Theology	The Bodley Head	2009	Lending		978-1-847-92035-5		
100057	Armstrong, R.A	Agnosticism and Theism in the Nineteenth Century		Agnosticism	Philip Green	1905	Reference				P/207
106603	Arnold, Matthew	Matthew Arnold's Essays in Criticism	ed CK Chesterton	Literary Criticism	Everyman's Library	1969	Lending				
106129	Arnold, Matthew	Literature and Dogma	An essay towards a better apprehension of the Bible	Bible	Thomas Nelson and Sons	1873	Lending				
100055	Arnold, Matthew	God and the Bible		Bible	Smith Elder	1893	Lending				H/239
100054	Arnold, Matthew	God and the Bible		Bible	Smith Elder	1893	Reference				H/394
106024	Ash, Brian [Ed]	The Visual Encyclopedia of Science Fiction		Science	Pan	1977	Lending		0-330-25275-5		
106557	Ashton-Warner, Sylvia	Incense of Idols	Fiction	Literature / Religion	Secker & Warburg	1960	Lending				
106053	Asimov, Isaac	Asimov's Guide to the Bible	Two Volumes in one: The old and new testament	Bible	Avenel Books	1981	Lending		0-517-34582-X		
100058	Asimov, Isaac	Asimov's New Guide to Science		Science	Viking	1985	Lending	4	0-670-80347-2		H/940
100059	Asimov, Isaac	In the Beginning	Science Faces God Book of Genesis			1981					
100062	Asimov, Issac	Asimov's Guide to the Bible		Bible	Wings Books	1981	Lending	5	0-517-34582-X		H/1295
100059	Asimov, Isaac	Asimov's Guide to the Bible				1969	Reference				
102591	Aslen Ahmet	Islam Civil Society & Market Economy				1999	Lending				
102599	Attenborough, David	Life on Earth		Biology	Collins / British Broadcasting Corporation	1979	Lending		0-00-219091-5	$4.00	H/319
100063	Attenborough, David	Living Planet, The		Biology	Collins & BBC	1985	Lending		0-00-219139-3	NZ$29.95	H/320
100065	Attenborough, David	Trials of Life, The		Biology	Collins & BBC	1990	Lending		0-00-219912-2		H/320
104856	Aubrey M. E.	Ministers Manuel A	Containing Orders of Service	Theology	Carey Kingsgate Press Ltd	1927	Lending				
100064	Augustine, Saint	Confessions of St Augustine, The		Philosophy	J.M. Dent & Sons	1917	Reference				H/348
102044	Augustine, Saint	Confessions, The; City of God, The; On Christian Doctrine		Theology	Encyclopedia Brittanica	1952	Lending				H/698
100067	Augustine, St.	Of True Religion		Philosophy	Henry Regnery Company	1966	Lending			$4.95	P/107
100066	Aurelius, Marcus	Meditations of Marcus Aurelius, The		Philosophy	Everyman's Library	1949	Lending				H/182
100373	Aurelius, Marcus	Meditations of Marcus Aurelius, The		Philosophy	Collins & JM Dent	1976	Reference				H/317
106354	Austen, Jane	Northanger Abbey		Literature	Oxford University Press	1930	Lending				
106269	Ayer, A J. 	The Meaning of Life	Essays by the author of Language, Truth and Logic	Philosophy	Charles Scribner's Sons	1990	Lending		0-684-19195-4		
104989	Ayer, A J. 	Language truth and logic		Philosophy	Camelot Press	1955	Lending				
104401	Ayer, A J. 	Autobiography of Bertrand Russell The 1914-1944				1951	Lending				
104402	Ayer, A J. 	Autobiography of Bertrand Russell The 1944-1966				1951	Lending				
104399	Ayer, A J. 	Bertrand Russell Phiosopher of the Century	Essays	Philosophy		1967	Lending				
104462	Ayer, A J. 	Central Questions of Philosophy The				1976	Lending				
100075	Ayer, A J. (Ed.)	Theism and Humanism		Humanism	Pemberton	1963	Lending				H/296
100073	Ayer, A J. (Ed.)	Humanist Outlook, The		Humanism	Pemberton	1963	Reference				H/296
100072	Ayer, A.J.	Meaning of Life, The		Humanism	South Place Ethical Society	1988	Lending	1	0-902368-14-1		P/33
100426	Ayer, A.J.	Meaning of Life, The		Humanism	South Place Ethical Society	1988	Reference		0-902368-14-1		P/33
100071	Ayer, A.J.	Metaphysics and Common Sense		Philosophy	Macmillan	1973	Lending				P/267
104400	Ayer, A J. 	On Education				1926	Lending				
102859	Ayer, A J. 	Philosophy in the Twentieth Century		Philosophy		1982	Lending				
100070	Ayer, A.J.	Philosophical Essays		Philosophy	Greenwood Press	1980	Lending	1	0-313-20902-2		H/289
104403	Ayer, A J. 	Power				1938	Lending				
100427	Ayer, A.J.	Thomas Paine		Biography	Secker & Warburg	1988	Lending	1	0-436-02820-4		H/194
100425	Ayer, A.J. et al.	Towards an Open Society		Humanism	Pemberton	1971	Lending				P/130
100428	Azzam, Abd-al-Rahman	Eternal Message of Muhammed, The		Islam	Quartet Books	1979	Lending	1	0-7043-3203-5		P/297
100429	Babinski, Edward T	Leaving the Fold : Testimonies of Former Fundamentalists		Fundamentalism	Prometheus	1995	Lending	2	0-87975-907-0		H/462
102527	Bacon, Francis	Advancement of Learning; Novum Organum; New Atlantis		Philosophy	Encyclopedia Brittanica	1952	Lending				H/214
100432	Bacon, Francis	Complete Essays of Francis Bacon, The		Philosophy / Bacon, Francis	Washington Square Press Inc.	1963	Lending				P/307
100433	Bacon, J S D	Chemistry of Life, The		Biochemistry	Watts & Co.	1947	Lending				H/120
100430	Bacon, J S D	Chemistry of Life, The		Biochemistry	Watts & Co.	1947	Reference				H/120
100431	Bacon, J S D	Science of Heredity		Evolution	Watts & Co.	1951	Lending				H/192
101379	Bacon, J S D	Science of Heredity		Evolution	Watts & Co.	1951	Reference				H/192
100435	Bacque, James	Crimes and Mercies: The Fate of German Civilians Under Allied Occupation, 1944-1950		History / Germany	Warner Books	1997	Lending		0-7515-2277-5	$12.00	P/288
100434	Baigent, Leigh & Lincoln	Messianic Legacy, The		Messianism	Corgi Books	1986	Lending	2	0-552-13182-2		P/500
100985	Baigent, Leigh & Lincoln	Messianic Legacy, The		Messianism	Corgi Books	1986	Reference		0-224-02185-0		H/364
104267	Baigent Michael	Dead Sea Scrolls The				1991	Lending				
100985	Baigent Michael	Holy Blood & the Holy Grail		History		1982	Lending				
104930	Baigent, M.; Leigh, R.; Lincoln, H.	The Holy blood and the holy grail		History 	Century	2005	Lending		1-8441-3840-2		
102928	Bailey & Darden	Mad Man in Waco		Cults	WRS Publishing	1993	Lending	2	1-56796-027-8		P/284
100437	Bailey, Ronald (ed)	Global Warming and Other Eco-Myths : How the Environmental Movement Uses False Science to Scare Us to Death		Deep Ecology /  Environmentalism	Forum	2002	Lending		0-7615-3660-4	$54.95	H/423
106125	Baillie, John	And the life everlasting		Theology	Oxford University Press	1934	Lending				
100438	Bains, William	Genetic Engineering for Almost Everybody		Genetic Engineering	Penguin	1987	Lending	1	0-14-022740-7		P/214
106606	Bradley Raymond D	God's Gravediggers; why no Diety exists		Atheism	Ochamam Publishing	2015	Lending				
106607	Bradley, Raymond D	God's Gravediggers; why no Diety exists		Atheism							
100714	Baird, Robert & Rosenbaum, Stuart (eds)	Euthanasia : The Moral Issues		Euthanasia / Ethics	Prometheus Books	1989	Lending	2	0-87975-555-5		P/216
100441	Baird, Robert & Rosenbaum, Stuart (edS)	Hatred, Bigotry, & Prejudice : Definitions, Causes, and Solutions		Politics / Hate	Prometheus Books	1999	Lending		1-57392-748-1	$US16.11	P/288
100430	Bacon J S D	Science of Heredity The				1951					
100431	Bacon J S D	Science of Heredity The				1951					
106028	Baigent, M.; Leigh, R.; Lincoln, H.	The Messianic Legacy		Christianity	Corgi Books	1987	Lending		0-552-13182-2		
106293	Baigent, Michael	The Jesus papers	Exposing the greatest cover-up in history	Christianity	Harper Element	2006	Lending		0-00-724122-4		
100439	Baker, I Newton	Intimate View of Robert G Ingersoll, An		Biography	C P Farrell	1920	Reference				H/207
104165	Baker Brian	From Faith to Reason				2009	Lending				
100440	Baldwin, James Mark	History of Psychology		Psychology	Watts & Co.	1913	Lending				H/168
100441	Baldwin, James Mark	History of Psychology		Psychology	Watts & Co.	1913	Reference				H/168
100444	Balfour, Arthur James	Theism and Humanism		Humanism	Hodder and Stoughton	1914	Reference				H/274
